Municipio,Municipio_id,Departamento,Departamento_id
URIBIA,44847,LA GUAJIRA,44
MANAURE,44560,LA GUAJIRA,44
MAICAO,44430,LA GUAJIRA,44
RIOHACHA,44001,LA GUAJIRA,44
DIBULLA,44090,LA GUAJIRA,44
SANTA MARTA,47001,MAGDALENA,47
HATONUEVO,44378,LA GUAJIRA,44
BARRANCAS,44078,LA GUAJIRA,44
CIENAGA,47189,MAGDALENA,47
BARRANQUILLA,08001,ATLANTICO,08
SITIONUEVO,47745,MAGDALENA,47
PUERTO COLOMBIA,08573,ATLANTICO,08
DISTRACCION,44098,LA GUAJIRA,44
FONSECA,44279,LA GUAJIRA,44
SAN JUAN DEL CESAR,44650,LA GUAJIRA,44
PUEBLOVIEJO,47570,MAGDALENA,47
TUBARA,08832,ATLANTICO,08
GALAPA,08296,ATLANTICO,08
SOLEDAD,08758,ATLANTICO,08
MALAMBO,08433,ATLANTICO,08
JUAN DE ACOSTA,08372,ATLANTICO,08
VALLEDUPAR,20001,CESAR,20
ARACATACA,47053,MAGDALENA,47
BARANOA,08078,ATLANTICO,08
SABANAGRANDE,08634,ATLANTICO,08
POLONUEVO,08558,ATLANTICO,08
PIOJO,08549,ATLANTICO,08
USIACURI,08849,ATLANTICO,08
SANTA CATALINA,13673,BOLIVAR,13
SANTO TOMAS,08685,ATLANTICO,08
PALMAR DE VARELA,08520,ATLANTICO,08
EL RETEN,47268,MAGDALENA,47
REMOLINO,47605,MAGDALENA,47
SABANALARGA,08638,ATLANTICO,08
PONEDERA,08560,ATLANTICO,08
LURUACO,08421,ATLANTICO,08
CARTAGENA,13001,BOLIVAR,13
PUEBLO BELLO,20570,CESAR,20
PIVIJAY,47551,MAGDALENA,47
VILLANUEVA,44874,LA GUAJIRA,44
EL MOLINO,44110,LA GUAJIRA,44
FUNDACION,47288,MAGDALENA,47
CLEMENCIA,13222,BOLIVAR,13
REPELON,08606,ATLANTICO,08
SALAMINA,47675,MAGDALENA,47
CANDELARIA,08141,ATLANTICO,08
URUMITA,44855,LA GUAJIRA,44
MANATI,08436,ATLANTICO,08
SANTA ROSA,13683,BOLIVAR,13
VILLANUEVA,13873,BOLIVAR,13
EL PIÂ¥ON,47258,MAGDALENA,47
CAMPO DE LA CRUZ,08137,ATLANTICO,08
LA PAZ,20621,CESAR,20
SAN ESTANISLAO,13647,BOLIVAR,13
MANAURE,20443,CESAR,20
SOPLAVIENTO,13760,BOLIVAR,13
SAN CRISTOBAL,13620,BOLIVAR,13
TURBACO,13836,BOLIVAR,13
EL COPEY,20238,CESAR,20
SANTA LUCIA,08675,ATLANTICO,08
CERRO SAN ANTONIO,47161,MAGDALENA,47
CALAMAR,13140,BOLIVAR,13
SAN DIEGO,20750,CESAR,20
SUAN,08770,ATLANTICO,08
ARJONA,13052,BOLIVAR,13
MAHATES,13433,BOLIVAR,13
TURBANA,13838,BOLIVAR,13
PEDRAZA,47541,MAGDALENA,47
CHIVOLO,47170,MAGDALENA,47
AGUSTIN CODAZZI,20013,CESAR,20
EL GUAMO,13248,BOLIVAR,13
SAN ONOFRE,70713,SUCRE,70
SAN JUAN NEPOMUCENO,13657,BOLIVAR,13
MARIA LA BAJA,13442,BOLIVAR,13
BOSCONIA,20060,CESAR,20
TENERIFE,47798,MAGDALENA,47
PLATO,47555,MAGDALENA,47
ARIGUAINI,47058,MAGDALENA,47
BECERRIL,20045,CESAR,20
SAN JACINTO,13654,BOLIVAR,13
EL CARMEN DE BOLIVAR,13244,BOLIVAR,13
EL PASO,20250,CESAR,20
ZAMBRANO,13894,BOLIVAR,13
SANTA ANA,47707,MAGDALENA,47
PIJIÂ¥O DEL CARMEN,47545,MAGDALENA,47
OVEJAS,70508,SUCRE,70
LA JAGUA DE IBIRICO,20400,CESAR,20
CHALAN,70230,SUCRE,70
CORDOBA,13212,BOLIVAR,13
TOLUVIEJO,70823,SUCRE,70
COLOSO,70204,SUCRE,70
CHIRIGUANA,20178,CESAR,20
ASTREA,20032,CESAR,20
SAN PEDRO,70717,SUCRE,70
CHIMICHAGUA,20175,CESAR,20
LOS PALMITOS,70418,SUCRE,70
MORROA,70473,SUCRE,70
SAN SEBASTIAN DE BUENAVISTA,47692,MAGDALENA,47
SAN ZENON,47703,MAGDALENA,47
MAGANGUE,13430,BOLIVAR,13
BUENAVISTA,70110,SUCRE,70
SAN ANTERO,23672,CORDOBA,23
SAN BERNARDO DEL VIENTO,23675,CORDOBA,23
SINCELEJO,70001,SUCRE,70
TALAIGUA NUEVO,13780,BOLIVAR,13
SINCE,70742,SUCRE,70
PALMITO,70523,SUCRE,70
SAN JUAN DE BETULIA,70702,SUCRE,70
CURUMANI,20228,CESAR,20
GUAMAL,47318,MAGDALENA,47
COROZAL,70215,SUCRE,70
EL BANCO,47245,MAGDALENA,47
MOÂ¥ITOS,23500,CORDOBA,23
LORICA,23417,CORDOBA,23
PURISIMA,23586,CORDOBA,23
MOMIL,23464,CORDOBA,23
MOMPOS,13468,BOLIVAR,13
CICUCO,13188,BOLIVAR,13
EL CARMEN,54245,NORTE DE SANTANDER,54
SAN ANDRES DE SOTAVENTO,23670,CORDOBA,23
CONVENCION,54206,NORTE DE SANTANDER,54
SAN FERNANDO,13650,BOLIVAR,13
SAMPUES,70670,SUCRE,70
CHIMA,23168,CORDOBA,23
MARGARITA,13440,BOLIVAR,13
GALERAS,70235,SUCRE,70
COTORRA,23300,CORDOBA,23
CHINU,23182,CORDOBA,23
TEORAMA,54800,NORTE DE SANTANDER,54
PUERTO ESCONDIDO,23574,CORDOBA,23
TIBU,54810,NORTE DE SANTANDER,54
SAN BENITO ABAD,70678,SUCRE,70
SAN PELAYO,23686,CORDOBA,23
TAMALAMEQUE,20787,CESAR,20
PINILLOS,13549,BOLIVAR,13
PAILITAS,20517,CESAR,20
SUCRE,70771,SUCRE,70
CIENAGA DE ORO,23189,CORDOBA,23
HATILLO DE LOBA,13300,BOLIVAR,13
SAHAGUN,23660,CORDOBA,23
EL PEÂ¥ON,13268,BOLIVAR,13
SAN MARTIN DE LOBA,13667,BOLIVAR,13
LOS CORDOBAS,23419,CORDOBA,23
CERETE,23162,CORDOBA,23
BARRANCO DE LOBA,13074,BOLIVAR,13
MONTERIA,23001,CORDOBA,23
CAIMITO,70124,SUCRE,70
ARBOLETES,05051,ANTIOQUIA,05
PELAYA,20550,CESAR,20
LA UNION,70400,SUCRE,70
SAN CARLOS,23678,CORDOBA,23
CANALETE,23090,CORDOBA,23
EL TARRA,54250,NORTE DE SANTANDER,54
ALTOS DEL ROSARIO,13030,BOLIVAR,13
REGIDOR,13580,BOLIVAR,13
SAN JUAN DE URABA,05659,ANTIOQUIA,05
ACHI,13006,BOLIVAR,13
LA GLORIA,20383,CESAR,20
MAJAGUAL,70429,SUCRE,70
SAN MARCOS,70708,SUCRE,70
NECOCLI,05490,ANTIOQUIA,05
RIO VIEJO,13600,BOLIVAR,13
ACANDI,27006,CHOCO,27
TIQUISIO,13810,BOLIVAR,13
SAN PEDRO DE URABA,05665,ANTIOQUIA,05
PUEBLO NUEVO,23570,CORDOBA,23
SAN CALIXTO,54670,NORTE DE SANTANDER,54
PLANETA RICA,23555,CORDOBA,23
GUARANDA,70265,SUCRE,70
AGUACHICA,20011,CESAR,20
AYAPEL,23068,CORDOBA,23
HACARI,54344,NORTE DE SANTANDER,54
GAMARRA,20295,CESAR,20
MORALES,13473,BOLIVAR,13
MONTECRISTO,13458,BOLIVAR,13
GONZALEZ,20310,CESAR,20
SARDINATA,54720,NORTE DE SANTANDER,54
TURBO,05837,ANTIOQUIA,05
VALENCIA,23855,CORDOBA,23
CUCUTA,54001,NORTE DE SANTANDER,54
OCAÂ¥A,54498,NORTE DE SANTANDER,54
SAN JACINTO DEL CAUCA,13655,BOLIVAR,13
PUERTO SANTANDER,54553,NORTE DE SANTANDER,54
UNGUIA,27800,CHOCO,27
BUENAVISTA,23079,CORDOBA,23
TIERRALTA,23807,CORDOBA,23
LA PLAYA,54398,NORTE DE SANTANDER,54
RIO DE ORO,20614,CESAR,20
ARENAL,13042,BOLIVAR,13
EL ZULIA,54261,NORTE DE SANTANDER,54
ABREGO,54003,NORTE DE SANTANDER,54
NECHI,05495,ANTIOQUIA,05
BUCARASICA,54109,NORTE DE SANTANDER,54
MONTELIBANO,23466,CORDOBA,23
EL BAGRE,05250,ANTIOQUIA,05
SIMITI,13744,BOLIVAR,13
LA APARTADA,23350,CORDOBA,23
PUERTO WILCHES,68575,SANTANDER,68
SANTA ROSA DEL SUR,13688,BOLIVAR,13
SAN MARTIN,20770,CESAR,20
VILLA CARO,54871,NORTE DE SANTANDER,54
APARTADO,05045,ANTIOQUIA,05
CAUCASIA,05154,ANTIOQUIA,05
SAN ALBERTO,20710,CESAR,20
LOURDES,54418,NORTE DE SANTANDER,54
GRAMALOTE,54313,NORTE DE SANTANDER,54
CACERES,05120,ANTIOQUIA,05
PUERTO LIBERTADOR,23580,CORDOBA,23
SANTIAGO,54680,NORTE DE SANTANDER,54
SAN CAYETANO,54673,NORTE DE SANTANDER,54
RIOSUCIO,27615,CHOCO,27
CAREPA,05147,ANTIOQUIA,05
SALAZAR,54660,NORTE DE SANTANDER,54
VILLA DEL ROSARIO,54874,NORTE DE SANTANDER,54
CACHIRA,54128,NORTE DE SANTANDER,54
DURANIA,54239,NORTE DE SANTANDER,54
LOS PATIOS,54405,NORTE DE SANTANDER,54
LA ESPERANZA,54385,NORTE DE SANTANDER,54
CHIGORODO,05172,ANTIOQUIA,05
TARAZA,05790,ANTIOQUIA,05
BOCHALEMA,54099,NORTE DE SANTANDER,54
RIONEGRO,68615,SANTANDER,68
ARBOLEDAS,54051,NORTE DE SANTANDER,54
ZARAGOZA,05895,ANTIOQUIA,05
SABANA DE TORRES,68655,SANTANDER,68
CHINACOTA,54172,NORTE DE SANTANDER,54
RAGONVALIA,54599,NORTE DE SANTANDER,54
SURATA,68780,SANTANDER,68
CUCUTILLA,54223,NORTE DE SANTANDER,54
EL PLAYON,68255,SANTANDER,68
PAMPLONITA,54520,NORTE DE SANTANDER,54
HERRAN,54347,NORTE DE SANTANDER,54
SAN PABLO,13670,BOLIVAR,13
CALIFORNIA,68132,SANTANDER,68
JURADO,27372,CHOCO,27
SEGOVIA,05736,ANTIOQUIA,05
VETAS,68867,SANTANDER,68
TOLEDO,54820,NORTE DE SANTANDER,54
MATANZA,68444,SANTANDER,68
CANTAGALLO,13160,BOLIVAR,13
PAMPLONA,54518,NORTE DE SANTANDER,54
ANORI,05040,ANTIOQUIA,05
VALDIVIA,05854,ANTIOQUIA,05
ITUANGO,05361,ANTIOQUIA,05
LEBRIJA,68406,SANTANDER,68
LABATECA,54377,NORTE DE SANTANDER,54
MUTISCUA,54480,NORTE DE SANTANDER,54
CHARTA,68169,SANTANDER,68
CACOTA,54125,NORTE DE SANTANDER,54
SILOS,54743,NORTE DE SANTANDER,54
AMALFI,05031,ANTIOQUIA,05
YONDO,05893,ANTIOQUIA,05
GIRON,68307,SANTANDER,68
REMEDIOS,05604,ANTIOQUIA,05
TONA,68820,SANTANDER,68
YARUMAL,05887,ANTIOQUIA,05
CHITAGA,54174,NORTE DE SANTANDER,54
BUCARAMANGA,68001,SANTANDER,68
BARRANCABERMEJA,68081,SANTANDER,68
BRICEÂ¥O,05107,ANTIOQUIA,05
PEQUE,05543,ANTIOQUIA,05
DABEIBA,05234,ANTIOQUIA,05
CAMPAMENTO,05134,ANTIOQUIA,05
SAN VICENTE DE CHUCURI,68689,SANTANDER,68
FLORIDABLANCA,68276,SANTANDER,68
BETULIA,68092,SANTANDER,68
PIEDECUESTA,68547,SANTANDER,68
TOLEDO,05819,ANTIOQUIA,05
ARAUCA,81001,ARAUCA,81
SANTA BARBARA,68705,SANTANDER,68
SABANALARGA,05628,ANTIOQUIA,05
SARAVENA,81736,ARAUCA,81
ARAUQUITA,81065,ARAUCA,81
GUACA,68318,SANTANDER,68
URAMITA,05842,ANTIOQUIA,05
CUBARA,15223,BOYACA,15
MURINDO,05475,ANTIOQUIA,05
SAN ANDRES,05647,ANTIOQUIA,05
CAÂ¥ASGORDAS,05138,ANTIOQUIA,05
CERRITO,68162,SANTANDER,68
ZAPATOCA,68895,SANTANDER,68
BURITICA,05113,ANTIOQUIA,05
VEGACHI,05858,ANTIOQUIA,05
ANGOSTURA,05038,ANTIOQUIA,05
GUADALUPE,05315,ANTIOQUIA,05
SIMACOTA,68745,SANTANDER,68
SAN ANDRES,68669,SANTANDER,68
FRONTINO,05284,ANTIOQUIA,05
SAN JOSE DE LA MONTAÂ¥A,05658,ANTIOQUIA,05
GOMEZ PLATA,05310,ANTIOQUIA,05
CONCEPCION,68207,SANTANDER,68
LOS SANTOS,68418,SANTANDER,68
BOJAYA,27099,CHOCO,27
EL CARMEN DE CHUCURI,68235,SANTANDER,68
SANTA ROSA DE OSOS,05686,ANTIOQUIA,05
PUERTO PARRA,68573,SANTANDER,68
FORTUL,81300,ARAUCA,81
VIGIA DEL FUERTE,05873,ANTIOQUIA,05
CHISCAS,15180,BOYACA,15
CAROLINA,05150,ANTIOQUIA,05
YOLOMBO,05890,ANTIOQUIA,05
ARATOCA,68051,SANTANDER,68
BAHIA SOLANO,27075,CHOCO,27
CEPITA,68160,SANTANDER,68
LIBORINA,05411,ANTIOQUIA,05
BELMIRA,05086,ANTIOQUIA,05
YALI,05885,ANTIOQUIA,05
GALAN,68296,SANTANDER,68
MALAGA,68432,SANTANDER,68
CIMITARRA,68190,SANTANDER,68
VILLANUEVA,68872,SANTANDER,68
ABRIAQUI,05004,ANTIOQUIA,05
CARCASI,68152,SANTANDER,68
PUERTO BERRIO,05579,ANTIOQUIA,05
JORDAN,68370,SANTANDER,68
GUICAN,15332,BOYACA,15
GIRALDO,05306,ANTIOQUIA,05
BARICHARA,68079,SANTANDER,68
ENCISO,68266,SANTANDER,68
MOLAGAVITA,68468,SANTANDER,68
CRAVO NORTE,81220,ARAUCA,81
TAME,81794,ARAUCA,81
SAN JOSE DE MIRANDA,68684,SANTANDER,68
ENTRERRIOS,05264,ANTIOQUIA,05
CURITI,68229,SANTANDER,68
PUERTO RONDON,81591,ARAUCA,81
OLAYA,05501,ANTIOQUIA,05
SANTAFE DE ANTIOQUIA,05042,ANTIOQUIA,05
CABRERA,68121,SANTANDER,68
SAN GIL,68679,SANTANDER,68
MACEO,05425,ANTIOQUIA,05
MOGOTES,68464,SANTANDER,68
HATO,68344,SANTANDER,68
SOPETRAN,05761,ANTIOQUIA,05
SAN MIGUEL,68686,SANTANDER,68
URRAO,05847,ANTIOQUIA,05
CAPITANEJO,68147,SANTANDER,68
CISNEROS,05190,ANTIOQUIA,05
MACARAVITA,68425,SANTANDER,68
COVARACHIA,15218,BOYACA,15
DON MATIAS,05237,ANTIOQUIA,05
SANTO DOMINGO,05690,ANTIOQUIA,05
PINCHOTE,68549,SANTANDER,68
PALMAR,68522,SANTANDER,68
SAN JOAQUIN,68682,SANTANDER,68
ONZAGA,68502,SANTANDER,68
SAN ROQUE,05670,ANTIOQUIA,05
VELEZ,68861,SANTANDER,68
LANDAZURI,68385,SANTANDER,68
SOCORRO,68755,SANTANDER,68
CAICEDO,05125,ANTIOQUIA,05
BARBOSA,05079,ANTIOQUIA,05
EL ESPINO,15248,BOYACA,15
SAN PEDRO,05664,ANTIOQUIA,05
SAN JERONIMO,05656,ANTIOQUIA,05
SANTA HELENA DEL OPON,68720,SANTANDER,68
PARAMO,68533,SANTANDER,68
GUACAMAYAS,15317,BOYACA,15
VALLE DE SAN JOSE,68855,SANTANDER,68
SAN MATEO,15673,BOYACA,15
CHIMA,68176,SANTANDER,68
PANQUEBA,15522,BOYACA,15
TIPACOQUE,15810,BOYACA,15
CARACOLI,05142,ANTIOQUIA,05
CONCEPCION,05206,ANTIOQUIA,05
GIRARDOTA,05308,ANTIOQUIA,05
BOAVITA,15097,BOYACA,15
COPACABANA,05212,ANTIOQUIA,05
BELLO,05088,ANTIOQUIA,05
EBEJICO,05240,ANTIOQUIA,05
PALMAS DEL SOCORRO,68524,SANTANDER,68
ANZA,05044,ANTIOQUIA,05
ALEJANDRIA,05021,ANTIOQUIA,05
EL COCUY,15244,BOYACA,15
SAN RAFAEL,05667,ANTIOQUIA,05
CONFINES,68209,SANTANDER,68
OCAMONTE,68498,SANTANDER,68
MEDELLIN,05001,ANTIOQUIA,05
SAN VICENTE,05674,ANTIOQUIA,05
COROMORO,68217,SANTANDER,68
CONTRATACION,68211,SANTANDER,68
LA PAZ,68397,SANTANDER,68
CHARALA,68167,SANTANDER,68
SOATA,15753,BOYACA,15
GUAPOTA,68322,SANTANDER,68
PEÂ¥OL,05541,ANTIOQUIA,05
QUIBDO,27001,CHOCO,27
LA UVITA,15403,BOYACA,15
OIBA,68500,SANTANDER,68
SAN CARLOS,05649,ANTIOQUIA,05
GUARNE,05318,ANTIOQUIA,05
EL GUACAMAYO,68245,SANTANDER,68
PUERTO CARREÂ¥O,99001,VICHADA,99
GUADALUPE,68320,SANTANDER,68
GUATAPE,05321,ANTIOQUIA,05
BETULIA,05093,ANTIOQUIA,05
HELICONIA,05347,ANTIOQUIA,05
CHITA,15183,BOYACA,15
SUSACON,15774,BOYACA,15
BOLIVAR,68101,SANTANDER,68
PUERTO NARE,05585,ANTIOQUIA,05
PUERTO BOYACA,15572,BOYACA,15
HATO COROZAL,85125,CASANARE,85
MARINILLA,05440,ANTIOQUIA,05
ARMENIA,05059,ANTIOQUIA,05
RIONEGRO,05615,ANTIOQUIA,05
LA SALINA,85136,CASANARE,85
GRANADA,05313,ANTIOQUIA,05
RETIRO,05607,ANTIOQUIA,05
AGUADA,68013,SANTANDER,68
ITAGUI,05360,ANTIOQUIA,05
ENVIGADO,05266,ANTIOQUIA,05
LA PRIMAVERA,99524,VICHADA,99
ANGELOPOLIS,05036,ANTIOQUIA,05
ENCINO,68264,SANTANDER,68
LA ESTRELLA,05380,ANTIOQUIA,05
SUAITA,68770,SANTANDER,68
JERICO,15368,BOYACA,15
EL PEÂ¥ON,68250,SANTANDER,68
CONCORDIA,05209,ANTIOQUIA,05
SABANETA,05631,ANTIOQUIA,05
EL SANTUARIO,05697,ANTIOQUIA,05
SATIVANORTE,15720,BOYACA,15
SAN BENITO,68673,SANTANDER,68
TUTAZA,15839,BOYACA,15
TITIRIBI,05809,ANTIOQUIA,05
EL CARMEN DE VIBORAL,05148,ANTIOQUIA,05
SAN LUIS,05660,ANTIOQUIA,05
SOCOTA,15755,BOYACA,15
CALDAS,05129,ANTIOQUIA,05
CHIPATA,68179,SANTANDER,68
SALGAR,05642,ANTIOQUIA,05
SACAMA,85315,CASANARE,85
SUCRE,68773,SANTANDER,68
COCORNA,05197,ANTIOQUIA,05
PAZ DE ARIPORO,85250,CASANARE,85
SANTANA,15686,BOYACA,15
AMAGA,05030,ANTIOQUIA,05
SATIVASUR,15723,BOYACA,15
GUEPSA,68327,SANTANDER,68
PAZ DE RIO,15537,BOYACA,15
LA CEJA,05376,ANTIOQUIA,05
ALTO BAUDO,27025,CHOCO,27
SOCHA,15757,BOYACA,15
LA UNION,05400,ANTIOQUIA,05
BELEN,15087,BOYACA,15
CHITARAQUE,15185,BOYACA,15
SAN JOSE DE PARE,15664,BOYACA,15
PUERTO TRIUNFO,05591,ANTIOQUIA,05
TAMARA,85400,CASANARE,85
GAMBITA,68298,SANTANDER,68
VENECIA,05861,ANTIOQUIA,05
NUQUI,27495,CHOCO,27
BARBOSA,68077,SANTANDER,68
LA BELLEZA,68377,SANTANDER,68
SANTA BARBARA,05679,ANTIOQUIA,05
GUAVATA,68324,SANTANDER,68
EL CARMEN DE ATRATO,27245,CHOCO,27
CERINZA,15162,BOYACA,15
PAIPA,15516,BOYACA,15
DUITAMA,15238,BOYACA,15
MONTEBELLO,05467,ANTIOQUIA,05
FREDONIA,05282,ANTIOQUIA,05
SANTA ROSA DE VITERBO,15693,BOYACA,15
SAN FRANCISCO,05652,ANTIOQUIA,05
BETEITIVA,15092,BOYACA,15
TOGUI,15816,BOYACA,15
MONIQUIRA,15469,BOYACA,15
TARSO,05792,ANTIOQUIA,05
TASCO,15790,BOYACA,15
CIUDAD BOLIVAR,05101,ANTIOQUIA,05
PUENTE NACIONAL,68572,SANTANDER,68
ABEJORRAL,05002,ANTIOQUIA,05
SONSON,05756,ANTIOQUIA,05
JESUS MARIA,68368,SANTANDER,68
FLORESTA,15276,BOYACA,15
OTANCHE,15507,BOYACA,15
PUEBLORRICO,05576,ANTIOQUIA,05
JERICO,05368,ANTIOQUIA,05
FLORIAN,68271,SANTANDER,68
ALBANIA,68020,SANTANDER,68
CORRALES,15215,BOYACA,15
SOTAQUIRA,15763,BOYACA,15
BUSBANZA,15114,BOYACA,15
PISBA,15550,BOYACA,15
LA PINTADA,05390,ANTIOQUIA,05
ARCABUCO,15051,BOYACA,15
YACOPI,25885,CUNDINAMARCA,25
GAMEZA,15296,BOYACA,15
PORE,85263,CASANARE,85
HISPANIA,05353,ANTIOQUIA,05
PAYA,15533,BOYACA,15
PAUNA,15531,BOYACA,15
TAMESIS,05789,ANTIOQUIA,05
BETANIA,05091,ANTIOQUIA,05
GACHANTIVA,15293,BOYACA,15
COMBITA,15204,BOYACA,15
NOBSA,15491,BOYACA,15
TIBASOSA,15806,BOYACA,15
PUERTO SALGAR,25572,CUNDINAMARCA,25
SANTA SOFIA,15696,BOYACA,15
TOPAGA,15820,BOYACA,15
SABOYA,15632,BOYACA,15
ANDES,05034,ANTIOQUIA,05
ARGELIA,05055,ANTIOQUIA,05
SAN PABLO DE BORBUR,15681,BOYACA,15
MONGUA,15464,BOYACA,15
SOGAMOSO,15759,BOYACA,15
VALPARAISO,05856,ANTIOQUIA,05
LLORO,27413,CHOCO,27
AGUADAS,17013,CALDAS,17
TUNUNGUA,15832,BOYACA,15
MONGUI,15466,BOYACA,15
CHIQUINQUIRA,15176,BOYACA,15
BRICEÂ¥O,15106,BOYACA,15
TUTA,15837,BOYACA,15
NUNCHIA,85225,CASANARE,85
VILLA DE LEYVA,15407,BOYACA,15
FIRAVITOBA,15272,BOYACA,15
SUTAMARCHAN,15776,BOYACA,15
MOTAVITA,15476,BOYACA,15
JARDIN,05364,ANTIOQUIA,05
NARIÂ¥O,05483,ANTIOQUIA,05
LABRANZAGRANDE,15377,BOYACA,15
CHIQUIZA,15232,BOYACA,15
BAGADO,27073,CHOCO,27
MARIPI,15442,BOYACA,15
QUIPAMA,15580,BOYACA,15
OICATA,15500,BOYACA,15
AQUITANIA,15047,BOYACA,15
IZA,15362,BOYACA,15
TOCA,15814,BOYACA,15
SORA,15762,BOYACA,15
TUNJA,15001,BOYACA,15
TINJACA,15808,BOYACA,15
PESCA,15542,BOYACA,15
CHIVATA,15187,BOYACA,15
CALDAS,15131,BOYACA,15
SACHICA,15638,BOYACA,15
SAN MIGUEL DE SEMA,15676,BOYACA,15
CARAMANTA,05145,ANTIOQUIA,05
MUZO,15480,BOYACA,15
CUITIVA,15226,BOYACA,15
PACORA,17513,CALDAS,17
VICTORIA,17867,CALDAS,17
SIMIJACA,25745,CUNDINAMARCA,25
RAQUIRA,15600,BOYACA,15
BAJO BAUDO,27077,CHOCO,27
CUCAITA,15224,BOYACA,15
SAN LUIS DE PALENQUE,85325,CASANARE,85
TOTA,15822,BOYACA,15
YOPAL,85001,CASANARE,85
CAPARRAPI,25148,CUNDINAMARCA,25
TRINIDAD,85430,CASANARE,85
SAMACA,15646,BOYACA,15
